rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
77,Michael,Keane,88.83,2.6,0.71,3.31,1.76,6.27,1845.13,10,Keane,DEF,Everton,2025-26,0.16,88.83,"recency-weighted FPL points, decay 8**(-age/3)"
78,Nico,O'Reilly,87.75,3.0,2.0,5.0,4.88,6.0,1452.75,3,O'Reilly,DEF,Man City,2025-26,0.31,87.75,"recency-weighted FPL points, decay 8**(-age/3)"
79,Marcos,Senesi Barón,87.5,0.0,3.0,3.0,3.12,7.0,1644.0,1,Senesi,DEF,Tottenham,2025-26,0.16,87.5,"recency-weighted FPL points, decay 8**(-age/3)"
80,Kiernan,Dewsbury-Hall,87.31,4.16,4.0,8.16,5.25,9.69,1588.47,4,Dewsbury-Hall,MID,Everton,2025-26,0.46,87.31,"recency-weighted FPL points, decay 8**(-age/3)"
81,Gabriel,Martinelli Silva,86.88,4.19,4.69,8.88,8.04,4.88,1529.06,4,Martinelli,MID,Arsenal,2025-26,0.52,86.88,"recency-weighted FPL points, decay 8**(-age/3)"
82,Callum,Hudson-Odoi,86.32,3.82,3.21,7.04,4.74,7.59,1751.79,9,Hudson-Odoi,MID,Nott'm Forest,2025-26,0.36,86.32,"recency-weighted FPL points, decay 8**(-age/3)"
83,Youri,Tielemans,86.24,1.5,4.94,6.45,5.23,6.55,2193.58,8,Tielemans,MID,Man United,2025-26,0.26,86.24,"recency-weighted FPL points, decay 8**(-age/3)"
84,Yoane,Wissa,85.94,7.16,2.81,9.97,9.0,10.44,1438.56,5,Wissa,FWD,Newcastle,2025-26,0.62,85.94,"recency-weighted FPL points, decay 8**(-age/3)"
85,Lewis,Dunk,85.58,1.08,0.97,2.05,2.49,4.97,2670.32,9,Dunk,DEF,Brighton,2025-26,0.07,85.58,"recency-weighted FPL points, decay 8**(-age/3)"
86,Yankuba,Minteh,84.0,3.0,5.25,8.25,6.72,6.5,1652.25,2,Minteh,MID,Brighton,2025-26,0.45,84.0,"recency-weighted FPL points, decay 8**(-age/3)"
87,Milos,Kerkez,83.38,1.5,2.25,3.75,2.18,4.62,2205.25,3,Kerkez,DEF,Liverpool,2025-26,0.15,83.38,"recency-weighted FPL points, decay 8**(-age/3)"
88,Fabian,Schär,83.07,1.67,1.14,2.81,2.92,3.25,1968.46,8,Schär,DEF,Newcastle,2025-26,0.13,83.07,"recency-weighted FPL points, decay 8**(-age/3)"
89,Adrien,Truffert,82.5,0.5,3.0,3.5,2.21,9.5,1689.0,1,Truffert,DEF,Bournemouth,2025-26,0.19,82.5,"recency-weighted FPL points, decay 8**(-age/3)"
90,Reece,James,81.76,1.48,4.22,5.7,2.98,8.15,1479.38,7,James,DEF,Chelsea,2025-26,0.35,81.76,"recency-weighted FPL points, decay 8**(-age/3)"
91,Mohammed,Kudus,81.12,3.25,5.12,8.38,5.64,6.38,1725.38,3,Kudus,MID,Tottenham,2025-26,0.44,81.12,"recency-weighted FPL points, decay 8**(-age/3)"
92,David,Raya Martín,81.0,0.0,0.0,0.0,0.04,5.5,1665.0,1,Raya,GKP,Arsenal,2025-26,0.0,81.0,"recency-weighted FPL points, decay 8**(-age/3)"
93,Amad,Diallo,80.75,3.12,4.64,7.77,7.4,8.12,1694.7,6,Amad,MID,Man United,2025-26,0.41,80.75,"recency-weighted FPL points, decay 8**(-age/3)"
94,Mathias,Jensen,80.69,2.19,2.47,4.66,5.78,2.75,1831.12,5,Jensen,MID,Brentford,2025-26,0.23,80.69,"recency-weighted FPL points, decay 8**(-age/3)"
95,Anthony,Elanga,80.58,2.2,4.53,6.73,5.56,4.47,1644.23,6,Elanga,MID,Newcastle,2025-26,0.37,80.58,"recency-weighted FPL points, decay 8**(-age/3)"
96,Norberto Bercique,Gomes Betuncal,80.0,6.88,0.5,7.38,7.49,10.62,1273.62,3,Beto,FWD,Everton,2025-26,0.52,80.0,"recency-weighted FPL points, decay 8**(-age/3)"
97,Alex,Scott,79.62,1.62,1.12,2.75,4.04,4.88,1735.62,3,Scott,MID,Bournemouth,2025-26,0.14,79.62,"recency-weighted FPL points, decay 8**(-age/3)"
98,Dwight,McNeil,78.77,1.87,4.99,6.86,4.98,4.85,1616.24,9,McNeil,MID,Crystal Palace,2025-26,0.38,78.77,"recency-weighted FPL points, decay 8**(-age/3)"
99,Antonee,Robinson,78.7,0.5,3.38,3.88,3.21,6.83,2169.98,5,Robinson,DEF,Fulham,2025-26,0.16,78.7,"recency-weighted FPL points, decay 8**(-age/3)"
100,Calvin,Bassey,78.5,0.88,0.5,1.38,1.46,5.0,2321.88,3,Bassey,DEF,Fulham,2025-26,0.05,78.5,"recency-weighted FPL points, decay 8**(-age/3)"
101,Joelinton Cássio,Apolinário de Lira,78.42,2.83,2.05,4.88,4.38,5.07,2030.91,7,Joelinton,MID,Newcastle,2025-26,0.22,78.42,"recency-weighted FPL points, decay 8**(-age/3)"
102,Andrew,Robertson,78.17,1.0,1.62,2.62,3.88,5.94,1750.05,10,Robertson,DEF,Tottenham,2025-26,0.13,78.17,"recency-weighted FPL points, decay 8**(-age/3)"
103,Emile,Smith Rowe,77.84,3.34,1.77,5.11,4.87,4.58,1599.31,7,Smith Rowe,MID,Fulham,2025-26,0.29,77.84,"recency-weighted FPL points, decay 8**(-age/3)"
104,Cristian,Romero,77.22,2.91,0.88,3.78,2.64,8.12,1842.56,5,Romero,DEF,Tottenham,2025-26,0.18,77.22,"recency-weighted FPL points, decay 8**(-age/3)"
105,Noni,Madueke,77.12,3.94,2.12,6.06,5.85,8.5,1279.94,4,Madueke,MID,Arsenal,2025-26,0.43,77.12,"recency-weighted FPL points, decay 8**(-age/3)"
106,Matheus,Nunes,77.0,0.5,4.0,4.5,1.28,8.0,1430.5,1,Matheus N.,DEF,Man City,2025-26,0.28,77.0,"recency-weighted FPL points, decay 8**(-age/3)"
107,Micky,van de Ven,76.12,2.38,1.0,3.38,2.03,6.75,2066.62,3,Van de Ven,DEF,Tottenham,2025-26,0.15,76.12,"recency-weighted FPL points, decay 8**(-age/3)"
108,Kai,Havertz,76.05,5.62,3.78,9.41,7.7,7.89,1325.12,6,Havertz,FWD,Arsenal,2025-26,0.64,76.05,"recency-weighted FPL points, decay 8**(-age/3)"
109,Granit,Xhaka,75.75,1.01,3.64,4.65,2.9,5.11,1788.33,9,Xhaka,MID,Sunderland,2025-26,0.23,75.75,"recency-weighted FPL points, decay 8**(-age/3)"
110,Guglielmo,Vicario,75.5,0.0,0.0,0.0,0.02,4.62,2362.5,3,Vicario,GKP,Tottenham,2025-26,0.0,75.5,"recency-weighted FPL points, decay 8**(-age/3)"
111,Nordi,Mukiele,75.5,1.5,2.5,4.0,2.13,5.5,1392.0,1,Mukiele,DEF,Sunderland,2025-26,0.26,75.5,"recency-weighted FPL points, decay 8**(-age/3)"
112,Vitaly,Janelt,75.0,1.19,3.31,4.5,3.25,4.19,1870.78,5,Janelt,MID,Brentford,2025-26,0.22,75.0,"recency-weighted FPL points, decay 8**(-age/3)"
113,Harry,Maguire,74.27,1.09,1.55,2.63,1.72,4.48,1688.06,10,Maguire,DEF,Man United,2025-26,0.14,74.27,"recency-weighted FPL points, decay 8**(-age/3)"
114,Jake,O'Brien,74.25,1.0,1.5,2.5,1.6,2.25,1951.0,3,O'Brien,DEF,Everton,2025-26,0.12,74.25,"recency-weighted FPL points, decay 8**(-age/3)"
115,Pascal,Groß,73.85,1.71,5.22,6.94,5.46,10.04,1538.76,9,Groß,MID,Brighton,2025-26,0.41,73.85,"recency-weighted FPL points, decay 8**(-age/3)"
116,Luke,Shaw,73.77,0.58,1.07,1.65,1.92,3.26,2093.3,10,Shaw,DEF,Man United,2025-26,0.07,73.77,"recency-weighted FPL points, decay 8**(-age/3)"
117,Jørgen,Strand Larsen,73.75,5.5,1.5,7.0,6.0,5.75,1797.25,2,Strand Larsen,FWD,Crystal Palace,2025-26,0.35,73.75,"recency-weighted FPL points, decay 8**(-age/3)"
118,Enzo,Le Fée,73.5,2.5,3.0,5.5,5.58,8.0,1465.0,1,E.Le Fée,MID,Sunderland,2025-26,0.34,73.5,"recency-weighted FPL points, decay 8**(-age/3)"
119,Rayan,Aït-Nouri,73.44,1.31,3.12,4.44,3.68,8.5,1621.06,4,Aït-Nouri,DEF,Man City,2025-26,0.25,73.44,"recency-weighted FPL points, decay 8**(-age/3)"
120,Jack,Hinshelwood,73.06,3.62,3.25,6.88,5.01,3.62,1436.06,4,Hinshelwood,MID,Brighton,2025-26,0.43,73.06,"recency-weighted FPL points, decay 8**(-age/3)"
121,Adam,Wharton,72.75,0.5,3.88,4.38,5.37,4.5,1766.5,3,Wharton,MID,Crystal Palace,2025-26,0.22,72.75,"recency-weighted FPL points, decay 8**(-age/3)"
122,Curtis,Jones,72.63,1.62,3.0,4.62,4.57,4.59,1641.55,9,C.Jones,MID,Liverpool,2025-26,0.25,72.63,"recency-weighted FPL points, decay 8**(-age/3)"
123,Justin,Kluivert,72.5,4.88,1.62,6.5,6.29,5.25,1296.0,3,Kluivert,MID,Bournemouth,2025-26,0.45,72.5,"recency-weighted FPL points, decay 8**(-age/3)"
124,Malo,Gusto,72.25,1.0,2.5,3.5,3.65,5.25,1809.0,3,Gusto,DEF,Chelsea,2025-26,0.17,72.25,"recency-weighted FPL points, decay 8**(-age/3)"
125,Sepp,van den Berg,72.0,0.0,1.75,1.75,3.06,1.75,2026.5,4,Van den Berg,DEF,Brentford,2025-26,0.08,72.0,"recency-weighted FPL points, decay 8**(-age/3)"
126,Matheus,Santos Carneiro da Cunha,71.5,5.0,2.0,7.0,5.13,7.0,1246.5,1,Cunha,MID,Man United,2025-26,0.51,71.5,"recency-weighted FPL points, decay 8**(-age/3)"
127,Caoimhín,Kelleher,71.5,0.0,0.0,0.0,0.11,5.5,1665.0,1,Kelleher,GKP,Brentford,2025-26,0.0,71.5,"recency-weighted FPL points, decay 8**(-age/3)"
128,Lewis,Hall,70.94,0.62,2.75,3.38,3.21,5.31,1772.44,5,Hall,DEF,Newcastle,2025-26,0.17,70.94,"recency-weighted FPL points, decay 8**(-age/3)"
129,Đorđe,Petrović,70.88,0.0,0.0,0.0,0.0,3.12,1958.25,3,Petrović,GKP,Bournemouth,2025-26,0.0,70.88,"recency-weighted FPL points, decay 8**(-age/3)"
130,James,Justin,70.07,1.53,1.16,2.7,2.11,6.36,1824.11,6,Justin,DEF,Leeds,2025-26,0.13,70.07,"recency-weighted FPL points, decay 8**(-age/3)"
131,Callum,Wilson,69.45,6.33,1.69,8.02,6.53,6.21,1058.85,10,Wilson,FWD,Brentford,2025-26,0.68,69.45,"recency-weighted FPL points, decay 8**(-age/3)"
132,Sandro,Tonali,69.0,1.12,1.5,2.62,4.25,3.5,1977.88,3,Tonali,MID,Tottenham,2025-26,0.12,69.0,"recency-weighted FPL points, decay 8**(-age/3)"
133,Sander,Berge,68.8,0.15,1.77,1.92,2.25,2.41,2407.35,5,Berge,MID,Fulham,2025-26,0.07,68.8,"recency-weighted FPL points, decay 8**(-age/3)"
134,Jack,Grealish,68.77,2.19,4.34,6.52,4.72,8.73,1362.99,7,Grealish,MID,Everton,2025-26,0.43,68.77,"recency-weighted FPL points, decay 8**(-age/3)"
135,Anton,Stach,68.5,2.5,3.0,5.5,3.68,7.0,1184.5,1,Stach,MID,Leeds,2025-26,0.42,68.5,"recency-weighted FPL points, decay 8**(-age/3)"
136,Georginio,Rutter,68.19,2.75,4.06,6.81,4.5,1.25,1317.19,3,Georginio,MID,Brighton,2025-26,0.47,68.19,"recency-weighted FPL points, decay 8**(-age/3)"
137,Brenden,Aaronson,68.19,2.06,4.25,6.31,4.47,2.5,1372.31,2,Aaronson,MID,Leeds,2025-26,0.41,68.19,"recency-weighted FPL points, decay 8**(-age/3)"
138,Daniel,Muñoz Mejía,68.0,2.0,2.0,4.0,3.2,4.5,1200.0,1,Muñoz,DEF,Liverpool,2025-26,0.3,68.0,"recency-weighted FPL points, decay 8**(-age/3)"
139,Robin,Roefs,68.0,0.0,0.0,0.0,0.05,6.0,1575.0,1,Roefs,GKP,Sunderland,2025-26,0.0,68.0,"recency-weighted FPL points, decay 8**(-age/3)"
140,Ethan,Ampadu,67.69,0.5,2.0,2.5,2.34,5.56,1592.13,8,Ampadu,MID,Leeds,2025-26,0.14,67.69,"recency-weighted FPL points, decay 8**(-age/3)"
141,Jaidon,Anthony,67.69,4.19,2.06,6.25,4.17,3.25,1454.94,4,Anthony,MID,Brentford,2025-26,0.39,67.69,"recency-weighted FPL points, decay 8**(-age/3)"
142,Yasin,Ayari,67.69,2.0,2.25,4.25,3.23,4.25,1454.06,4,Ayari,MID,Brighton,2025-26,0.26,67.69,"recency-weighted FPL points, decay 8**(-age/3)"
143,Benjamin,White,67.5,0.62,1.94,2.56,1.93,4.0,1212.5,4,White,DEF,Arsenal,2025-26,0.19,67.5,"recency-weighted FPL points, decay 8**(-age/3)"
144,Gianluigi,Donnarumma,67.5,0.0,0.0,0.0,0.06,2.5,1530.0,1,Donnarumma,GKP,Man City,2025-26,0.0,67.5,"recency-weighted FPL points, decay 8**(-age/3)"
145,Rayan,Cherki,67.5,2.0,6.5,8.5,6.57,8.0,886.0,1,Cherki,MID,Man City,2025-26,0.86,67.5,"recency-weighted FPL points, decay 8**(-age/3)"
146,Amadou,Onana,67.31,2.06,0.19,2.25,2.66,4.0,1696.75,4,Onana,MID,Aston Villa,2025-26,0.12,67.31,"recency-weighted FPL points, decay 8**(-age/3)"
147,Ola,Aina,67.1,0.53,1.27,1.8,1.34,6.38,1584.15,4,Aina,DEF,Nott'm Forest,2025-26,0.1,67.1,"recency-weighted FPL points, decay 8**(-age/3)"
148,James,Maddison,67.06,3.95,4.46,8.41,5.47,6.53,1029.76,8,Maddison,MID,Tottenham,2025-26,0.73,67.06,"recency-weighted FPL points, decay 8**(-age/3)"
149,Martín,Zubimendi Ibáñez,66.5,2.5,0.5,3.0,2.55,4.5,1495.5,1,Zubimendi,MID,Arsenal,2025-26,0.18,66.5,"recency-weighted FPL points, decay 8**(-age/3)"
150,Ryan,Sessegnon,66.12,2.63,2.18,4.82,2.56,5.36,1146.11,8,Sessegnon,MID,Fulham,2025-26,0.38,66.12,"recency-weighted FPL points, decay 8**(-age/3)"
151,Timothy,Castagne,66.06,0.31,1.94,2.25,2.41,3.36,1964.7,6,Castagne,DEF,Fulham,2025-26,0.1,66.06,"recency-weighted FPL points, decay 8**(-age/3)"
152,Rodrigo,Bentancur,65.31,1.44,0.88,2.31,1.94,2.81,1610.94,5,Bentancur,MID,Tottenham,2025-26,0.13,65.31,"recency-weighted FPL points, decay 8**(-age/3)"
153,Pape Matar,Sarr,64.88,2.12,2.94,5.06,3.16,2.5,1440.31,4,P.M.Sarr,MID,Tottenham,2025-26,0.32,64.88,"recency-weighted FPL points, decay 8**(-age/3)"
154,Emiliano,Buendía Stati,64.41,3.44,1.38,4.81,3.62,5.75,1107.97,5,Buendía,MID,Aston Villa,2025-26,0.39,64.41,"recency-weighted FPL points, decay 8**(-age/3)"
155,Riccardo,Calafiori,64.25,1.0,1.25,2.25,2.45,3.25,1093.0,2,Calafiori,DEF,Arsenal,2025-26,0.19,64.25,"recency-weighted FPL points, decay 8**(-age/3)"
156,Viktor,Gyökeres,64.0,7.0,0.5,7.5,7.1,8.0,1108.5,1,Gyökeres,FWD,Arsenal,2025-26,0.61,64.0,"recency-weighted FPL points, decay 8**(-age/3)"
157,Tino,Livramento,64.0,0.16,0.81,0.97,1.42,3.72,1604.88,5,Livramento,DEF,Newcastle,2025-26,0.05,64.0,"recency-weighted FPL points, decay 8**(-age/3)"
158,Sven,Botman,63.44,0.75,0.88,1.62,1.88,4.0,1387.31,4,Botman,DEF,Newcastle,2025-26,0.11,63.44,"recency-weighted FPL points, decay 8**(-age/3)"
159,Jacob,Ramsey,63.41,1.94,3.16,5.09,3.2,3.34,1481.7,6,J.Ramsey,MID,Newcastle,2025-26,0.31,63.41,"recency-weighted FPL points, decay 8**(-age/3)"
160,Jefferson,Lerma Solís,63.31,0.44,2.88,3.31,3.26,2.81,1931.62,4,Lerma,MID,Crystal Palace,2025-26,0.15,63.31,"recency-weighted FPL points, decay 8**(-age/3)"
161,Michael,Kayode,63.25,0.5,1.25,1.75,2.31,4.5,1759.75,2,Kayode,DEF,Brentford,2025-26,0.09,63.25,"recency-weighted FPL points, decay 8**(-age/3)"
162,Malick,Thiaw,63.0,2.0,0.0,2.0,2.88,6.0,1481.5,1,Thiaw,DEF,Newcastle,2025-26,0.12,63.0,"recency-weighted FPL points, decay 8**(-age/3)"
163,Yehor,Yarmoliuk,62.75,0.5,1.5,2.0,1.69,0.5,1684.75,2,Yarmoliuk,MID,Brentford,2025-26,0.11,62.75,"recency-weighted FPL points, decay 8**(-age/3)"
164,Kenny,Tete,62.53,0.69,0.83,1.52,2.02,2.61,1630.27,5,Tete,DEF,Fulham,2025-26,0.08,62.53,"recency-weighted FPL points, decay 8**(-age/3)"
165,Omar,Alderete,62.5,0.5,0.5,1.0,1.27,2.5,1398.5,1,Alderete,DEF,Sunderland,2025-26,0.06,62.5,"recency-weighted FPL points, decay 8**(-age/3)"
166,Florian,Wirtz,62.5,2.5,2.0,4.5,5.98,8.5,1187.0,1,Wirtz,MID,Liverpool,2025-26,0.34,62.5,"recency-weighted FPL points, decay 8**(-age/3)"
167,Hugo,Ekitiké,62.5,5.5,2.0,7.5,6.28,11.0,898.5,1,Ekitiké,FWD,Liverpool,2025-26,0.75,62.5,"recency-weighted FPL points, decay 8**(-age/3)"
168,Kristoffer,Ajer,60.59,0.28,1.22,1.5,1.57,1.03,1599.03,5,Ajer,DEF,Brentford,2025-26,0.08,60.59,"recency-weighted FPL points, decay 8**(-age/3)"
169,Pascal,Struijk,60.33,0.17,0.66,0.83,2.07,2.28,1701.31,4,Struijk,DEF,Brighton,2025-26,0.04,60.33,"recency-weighted FPL points, decay 8**(-age/3)"
170,Mats,Wieffer,60.0,1.25,3.25,4.5,2.34,4.0,1201.25,2,Wieffer,MID,Brighton,2025-26,0.34,60.0,"recency-weighted FPL points, decay 8**(-age/3)"
171,James,Hill,59.88,0.0,1.75,1.75,1.16,2.0,1171.0,4,Hill,DEF,Bournemouth,2025-26,0.13,59.88,"recency-weighted FPL points, decay 8**(-age/3)"
172,Martin,Dúbravka,59.0,0.0,0.0,0.0,0.02,4.0,1800.0,2,Dúbravka,GKP,Tottenham,2025-26,0.0,59.0,"recency-weighted FPL points, decay 8**(-age/3)"
173,Adam,Smith,58.74,0.01,1.46,1.47,0.77,2.86,1416.44,8,Smith,DEF,Bournemouth,2025-26,0.09,58.74,"recency-weighted FPL points, decay 8**(-age/3)"
174,Sean,Longstaff,58.65,1.86,2.0,3.86,3.32,3.05,1278.02,8,Longstaff,MID,Leeds,2025-26,0.27,58.65,"recency-weighted FPL points, decay 8**(-age/3)"
175,Pedro,Porro Sauceda,58.5,0.5,1.5,2.0,2.71,4.0,1396.5,1,Pedro Porro,DEF,Tottenham,2025-26,0.13,58.5,"recency-weighted FPL points, decay 8**(-age/3)"
176,Daniel,Ballard,58.0,1.0,1.0,2.0,1.54,4.5,1072.0,1,Ballard,DEF,Sunderland,2025-26,0.17,58.0,"recency-weighted FPL points, decay 8**(-age/3)"
177,Ryan,Christie,57.75,1.56,2.0,3.56,3.85,3.0,1495.06,4,Christie,MID,Bournemouth,2025-26,0.21,57.75,"recency-weighted FPL points, decay 8**(-age/3)"
178,Igor Jesus,Maciel da Cruz,57.0,3.0,3.0,6.0,3.87,6.5,1146.5,1,Igor Jesus,FWD,Nott'm Forest,2025-26,0.47,57.0,"recency-weighted FPL points, decay 8**(-age/3)"
179,Marcus,Rashford,56.91,3.92,2.15,6.07,4.4,4.02,935.28,10,Rashford,MID,Man United,2025-26,0.58,56.91,"recency-weighted FPL points, decay 8**(-age/3)"
180,Kobbie,Mainoo,56.69,0.88,1.12,2.0,1.81,2.0,1479.5,4,Mainoo,MID,Man United,2025-26,0.12,56.69,"recency-weighted FPL points, decay 8**(-age/3)"
181,Tyler,Adams,56.56,1.0,1.75,2.75,1.23,1.94,1523.75,4,Adams,MID,Bournemouth,2025-26,0.16,56.56,"recency-weighted FPL points, decay 8**(-age/3)"
182,Rúben,dos Santos Gato Alves Dias,56.5,1.0,0.0,1.0,0.61,2.0,1069.5,1,Rúben,DEF,Man City,2025-26,0.08,56.5,"recency-weighted FPL points, decay 8**(-age/3)"
183,Robert,Lynch Sánchez,56.5,0.0,0.5,0.5,0.02,3.5,1520.0,1,Sánchez,GKP,Bournemouth,2025-26,0.03,56.5,"recency-weighted FPL points, decay 8**(-age/3)"
184,Junior,Kroupi,56.5,6.5,0.0,6.5,4.91,6.5,831.5,1,Kroupi.Jr,FWD,Bournemouth,2025-26,0.7,56.5,"recency-weighted FPL points, decay 8**(-age/3)"
185,Jayden,Bogle,56.48,0.91,2.88,3.78,3.03,0.5,1763.17,3,Bogle,DEF,Leeds,2025-26,0.19,56.48,"recency-weighted FPL points, decay 8**(-age/3)"
186,Pau,Torres,56.38,0.25,1.0,1.25,1.3,2.25,1649.0,3,Pau,DEF,Aston Villa,2025-26,0.07,56.38,"recency-weighted FPL points, decay 8**(-age/3)"
187,Raúl,Jiménez Rodríguez,56.0,4.5,2.5,7.0,6.24,3.5,1091.5,1,Raúl,FWD,Fulham,2025-26,0.58,56.0,"recency-weighted FPL points, decay 8**(-age/3)"
188,Liam,Delap,55.55,3.5,1.5,5.0,5.09,6.0,1193.61,5,Delap,FWD,Nott'm Forest,2025-26,0.38,55.55,"recency-weighted FPL points, decay 8**(-age/3)"
189,Benjamin,Sesko,55.5,5.5,1.0,6.5,4.74,9.5,815.0,1,Šeško,FWD,Man United,2025-26,0.72,55.5,"recency-weighted FPL points, decay 8**(-age/3)"
190,Joe,Rodon,55.02,1.0,0.0,1.0,0.98,2.55,1490.16,6,Rodon,DEF,Leeds,2025-26,0.06,55.02,"recency-weighted FPL points, decay 8**(-age/3)"
191,Trai,Hume,55.0,1.0,0.5,1.5,2.16,3.0,1516.0,1,Hume,DEF,Sunderland,2025-26,0.09,55.0,"recency-weighted FPL points, decay 8**(-age/3)"
192,Dejan,Kulusevski,54.59,3.03,2.09,5.12,3.9,4.56,1109.59,5,Kulusevski,MID,Tottenham,2025-26,0.42,54.59,"recency-weighted FPL points, decay 8**(-age/3)"
193,Noah,Okafor,54.5,4.0,1.5,5.5,3.28,5.5,776.5,1,Okafor,MID,Leeds,2025-26,0.64,54.5,"recency-weighted FPL points, decay 8**(-age/3)"
194,Senne,Lammens,54.5,0.0,0.0,0.0,0.0,5.5,1440.0,1,Lammens,GKP,Man United,2025-26,0.0,54.5,"recency-weighted FPL points, decay 8**(-age/3)"
195,Ross,Barkley,54.18,2.98,1.98,4.95,2.8,4.41,937.1,10,Barkley,MID,Aston Villa,2025-26,0.48,54.18,"recency-weighted FPL points, decay 8**(-age/3)"
196,Carlos,Baleba,54.0,0.75,0.25,1.0,1.96,1.75,1652.25,3,Baleba,MID,Man United,2025-26,0.05,54.0,"recency-weighted FPL points, decay 8**(-age/3)"
197,Nick,Woltemade,54.0,4.0,2.0,6.0,4.06,6.0,948.0,1,Woltemade,FWD,Newcastle,2025-26,0.57,54.0,"recency-weighted FPL points, decay 8**(-age/3)"
198,Lewis,Cook,53.84,0.25,2.01,2.26,2.05,1.44,1653.44,8,Cook,MID,Bournemouth,2025-26,0.12,53.84,"recency-weighted FPL points, decay 8**(-age/3)"
199,Jarrad,Branthwaite,53.8,0.91,0.88,1.78,1.04,2.05,1370.18,7,Branthwaite,DEF,Everton,2025-26,0.12,53.8,"recency-weighted FPL points, decay 8**(-age/3)"
200,Saša,Lukić,52.88,0.62,2.5,3.12,2.95,2.25,1591.12,3,Lukić,MID,Ipswich,2025-26,0.18,52.88,"recency-weighted FPL points, decay 8**(-age/3)"
201,Ibrahim,Sangaré,52.62,1.0,1.25,2.25,1.67,1.0,1311.38,3,Sangaré,MID,Nott'm Forest,2025-26,0.15,52.62,"recency-weighted FPL points, decay 8**(-age/3)"
202,Boubacar,Kamara,52.5,0.75,1.69,2.44,1.35,4.38,1452.44,4,Kamara,MID,Aston Villa,2025-26,0.15,52.5,"recency-weighted FPL points, decay 8**(-age/3)"
203,Jack,Harrison,52.28,1.31,1.81,3.12,3.41,3.17,1220.59,6,Harrison,MID,Leeds,2025-26,0.23,52.28,"recency-weighted FPL points, decay 8**(-age/3)"
204,Patrick,Dorgu,52.0,2.0,2.0,4.0,2.54,5.75,930.0,2,Dorgu,DEF,Man United,2025-26,0.39,52.0,"recency-weighted FPL points, decay 8**(-age/3)"
205,Djed,Spence,52.0,0.25,0.5,0.75,1.84,3.0,1472.31,4,Spence,DEF,Tottenham,2025-26,0.05,52.0,"recency-weighted FPL points, decay 8**(-age/3)"
206,Mason,Mount,51.9,2.55,0.75,3.3,2.97,2.84,965.8,7,Mount,MID,Man United,2025-26,0.31,51.9,"recency-weighted FPL points, decay 8**(-age/3)"
207,Rodrigo,Muniz Carvalho,51.62,3.62,1.0,4.62,4.46,6.5,927.88,4,Muniz,FWD,Fulham,2025-26,0.45,51.62,"recency-weighted FPL points, decay 8**(-age/3)"
208,Will,Hughes,51.43,0.08,1.9,1.99,2.77,1.3,1653.88,8,Hughes,MID,Crystal Palace,2025-26,0.11,51.43,"recency-weighted FPL points, decay 8**(-age/3)"
209,Tyrone,Mings,51.29,0.14,1.11,1.25,1.28,4.88,1315.02,10,Mings,DEF,Aston Villa,2025-26,0.09,51.29,"recency-weighted FPL points, decay 8**(-age/3)"
210,Jaka,Bijol,49.5,0.5,1.5,2.0,0.82,3.0,944.0,1,Bijol,DEF,Leeds,2025-26,0.19,49.5,"recency-weighted FPL points, decay 8**(-age/3)"
211,Mathys,Tel,49.5,2.5,1.5,4.0,3.58,4.0,894.0,2,Tel,MID,Tottenham,2025-26,0.4,49.5,"recency-weighted FPL points, decay 8**(-age/3)"
212,Lisandro,Martínez,49.44,0.56,0.38,0.94,1.11,3.12,1264.69,4,Martinez,DEF,Chelsea,2025-26,0.07,49.44,"recency-weighted FPL points, decay 8**(-age/3)"
213,Diego,Gómez Amarilla,48.5,2.5,0.5,3.0,3.98,4.5,1058.5,1,Gomez,MID,Brighton,2025-26,0.26,48.5,"recency-weighted FPL points, decay 8**(-age/3)"
214,Noussair,Mazraoui,48.5,0.0,0.25,0.25,0.91,4.25,1197.5,2,Mazraoui,DEF,Man United,2025-26,0.02,48.5,"recency-weighted FPL points, decay 8**(-age/3)"
215,Leon,Bailey,48.16,1.78,3.28,5.06,4.46,2.28,912.06,5,Bailey,MID,Aston Villa,2025-26,0.5,48.16,"recency-weighted FPL points, decay 8**(-age/3)"
216,Jordan,Henderson,48.05,0.62,1.93,2.55,1.63,2.92,1223.35,9,Henderson,MID,Chelsea,2025-26,0.19,48.05,"recency-weighted FPL points, decay 8**(-age/3)"
217,Nicolas,Jackson,48.0,4.25,2.25,6.5,6.04,5.75,905.12,3,N.Jackson,FWD,Aston Villa,2025-26,0.65,48.0,"recency-weighted FPL points, decay 8**(-age/3)"
218,Conor,Gallagher,47.73,1.59,1.78,3.38,2.17,3.73,1211.5,6,Gallagher,MID,Tottenham,2025-26,0.25,47.73,"recency-weighted FPL points, decay 8**(-age/3)"
219,Tosin,Adarabioyo,47.62,0.56,0.27,0.83,0.76,3.23,1123.14,5,Tosin,DEF,Tottenham,2025-26,0.07,47.62,"recency-weighted FPL points, decay 8**(-age/3)"
220,Thierno,Barry,47.5,4.0,0.0,4.0,4.3,4.5,949.0,1,Barry,FWD,Everton,2025-26,0.38,47.5,"recency-weighted FPL points, decay 8**(-age/3)"
