rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
519,Ármin,Pécsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Pécsi,GKP,Liverpool,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
520,Giovanni,Leoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Leoni,DEF,Liverpool,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
521,Danny,Imray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Imray,DEF,Crystal Palace,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
522,Benjamin,Lecomte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Lecomte,GKP,Fulham,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
523,Adam,Aznou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Aznou,DEF,Everton,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
524,Joe,Gauci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Gauci,GKP,Aston Villa,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
525,Gabriel,Słonina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Slonina,GKP,Chelsea,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
526,Joe,Whitworth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Whitworth,GKP,Crystal Palace,2023-24,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
527,Ellery,Balcombe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Balcombe,GKP,Brentford,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
528,Teddy,Sharman-Lowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Sharman-Lowe,GKP,Chelsea,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
529,Omar,Richards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,O.Richards,DEF,Nott'm Forest,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
530,Oliver,Hammond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Hammond,MID,Nott'm Forest,2022-23,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
531,Mark,Gillespie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Gillespie,GKP,Newcastle,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
532,Benjamin,Fredrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Fredrick,DEF,Brentford,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
