id,name,full_name,team,pos,price,status,chance_next,news,minutes,starts,total_points,points_per_game,form,selected_by_pct,ep_next,xG,xA,xGI,xGC,xG_per90,xA_per90,xGI_per90,xGC_per90,goals,assists,goals_minus_xG,assists_minus_xA,clean_sheets,goals_conceded,goals_conceded_per90,clean_sheets_per90,saves,saves_per90,own_goals,pens_saved,pens_missed,yellow,red,tackles,cbi,recoveries,defensive_contribution,def_contrib_per90,influence,creativity,threat,ict_index,bonus,bps
411,Haaland,Erling Haaland,Man City,FWD,15.5,a,,,180,2,15,7.5,7.5,69.3,7.5,1.4,0.02,1.42,1.31,0.7,0.01,0.71,0.66,2,0,0.6,-0.02,0,2,1.0,0.0,0,0.0,0,0,0,0,0,0,3,5,8,4.0,3.8,5.2,50.0,5.9,3,66
480,Gibbs-White,Morgan Gibbs-White,Nott'm Forest,MID,7.9,a,100,,180,2,15,7.5,7.5,8.7,7.5,0.92,0.1,1.02,2.22,0.46,0.05,0.51,1.11,1,1,0.08,0.9,0,3,1.5,0.0,0,0.0,0,0,0,0,0,2,2,4,8,4.0,0.0,9.3,16.0,2.4,3,46
544,Xhaka,Granit Xhaka,Sunderland,MID,5.5,a,,,180,2,15,7.5,7.5,4.6,7.5,0.0,0.45,0.45,2.75,0.0,0.22,0.22,1.38,0,1,0.0,0.55,1,2,1.0,0.5,0,0.0,0,0,0,0,0,3,3,14,20,10.0,18.8,31.4,0.0,5.0,5,60
69,Scott,Alex Scott,Bournemouth,MID,6.0,a,,,176,2,14,7.0,7.0,1.7,7.0,0.26,0.28,0.54,3.96,0.13,0.14,0.27,2.02,1,0,0.74,-0.28,1,2,1.02,0.51,0,0.0,0,0,0,1,0,7,4,15,26,13.3,11.4,4.8,0.0,1.6,3,56
391,Gvardiol,Joško Gvardiol,Man City,DEF,5.6,a,,,164,2,14,7.0,7.0,16.1,7.0,0.19,0.09,0.28,1.31,0.1,0.05,0.15,0.72,1,1,0.81,0.91,0,2,1.1,0.0,0,0.0,0,0,0,0,0,3,6,5,9,4.94,47.6,13.3,17.0,7.8,1,46
449,Hall,Lewis Hall,Newcastle,DEF,5.0,a,,,180,2,14,7.0,7.0,5.7,7.0,0.03,0.66,0.69,4.1,0.02,0.33,0.35,2.05,0,0,-0.03,-0.66,1,2,1.0,0.5,0,0.0,0,0,0,0,0,7,17,14,24,12.0,22.0,15.2,0.0,3.7,3,60
94,Schade,Kevin Schade,Brentford,MID,6.0,a,,,177,2,13,6.5,6.5,3.6,6.5,0.77,0.03,0.8,2.03,0.39,0.02,0.41,1.03,1,0,0.23,-0.03,1,1,0.51,0.51,0,0.0,0,0,0,0,0,5,4,9,18,9.15,14.4,11.8,59.0,8.5,3,51
40,Rogers,Morgan Rogers,Chelsea,MID,7.5,a,,,171,2,13,6.5,6.5,26.0,6.5,1.1,1.11,2.21,2.65,0.58,0.58,1.16,1.39,1,1,-0.1,-0.11,0,5,2.63,0.0,0,0.0,0,0,0,0,0,3,1,8,12,6.32,48.8,53.5,29.0,13.1,1,65
236,Dewsbury-Hall,Kiernan Dewsbury-Hall,Everton,MID,6.5,a,,,180,2,13,6.5,6.5,4.6,6.5,0.18,0.33,0.51,4.08,0.09,0.16,0.25,2.04,1,0,0.82,-0.33,1,1,0.5,0.5,0,0.0,0,0,0,0,0,5,1,12,18,9.0,42.8,28.3,27.0,9.8,3,64
237,Ndiaye,Iliman Ndiaye,Everton,MID,6.0,a,,,180,2,13,6.5,6.5,15.4,6.5,0.26,0.39,0.65,4.12,0.13,0.2,0.33,2.06,0,1,-0.26,0.61,1,1,0.5,0.5,0,0.0,0,0,0,0,0,5,5,15,25,12.5,40.8,39.8,48.0,12.9,1,52
427,Mbeumo,Bryan Mbeumo,Man Utd,MID,8.0,a,,,180,2,13,6.5,6.5,32.8,6.5,2.13,0.44,2.57,3.02,1.06,0.22,1.28,1.51,1,1,-1.13,0.56,0,4,2.0,0.0,0,0.0,0,0,0,1,0,3,0,7,10,5.0,9.6,28.1,49.0,8.7,2,53
258,Castagne,Timothy Castagne,Fulham,DEF,4.5,a,,,157,2,12,6.0,6.0,0.6,6.0,0.09,0.18,0.27,2.5,0.05,0.1,0.15,1.43,0,2,-0.09,1.82,1,3,1.72,0.57,0,0.0,0,0,0,1,0,2,6,6,8,4.59,38.0,27.8,23.0,8.9,0,39
282,Giles,Ryan Giles,Hull City,DEF,4.0,a,,,174,2,12,6.0,6.0,0.9,6.0,0.02,0.14,0.16,3.05,0.01,0.07,0.08,1.58,0,0,-0.02,-0.14,2,0,0.0,1.03,0,0.0,0,0,0,0,0,2,6,5,8,4.14,13.8,18.8,4.0,3.7,0,45
332,Justin,James Justin,Leeds,DEF,4.5,a,,,180,2,12,6.0,6.0,1.3,6.0,0.03,0.02,0.05,2.33,0.02,0.01,0.03,1.16,0,0,-0.03,-0.02,1,1,0.5,0.5,0,0.0,0,0,0,0,0,8,12,7,20,10.0,24.6,2.3,2.0,2.9,2,40
385,Trafford,James Trafford,Leeds,GK,5.0,a,,,180,2,12,6.0,6.0,4.8,6.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,1.16,0,0,0.0,0.0,1,1,0.5,0.5,7,3.5,0,0,0,0,0,0,0,20,0,0.0,19.4,0.0,0.0,1.9,2,48
368,Szoboszlai,Dominik Szoboszlai,Liverpool,MID,7.0,a,,,180,2,12,6.0,6.0,42.5,6.0,1.01,0.44,1.45,3.88,0.5,0.22,0.72,1.94,1,0,-0.01,-0.44,0,4,2.0,0.0,0,0.0,0,0,0,0,0,4,5,11,20,10.0,50.4,47.1,21.0,11.9,1,53
388,Guéhi,Marc Guéhi,Man City,DEF,6.0,a,,,180,2,12,6.0,6.0,19.4,6.0,0.89,0.36,1.25,1.31,0.44,0.18,0.62,0.66,1,0,0.11,-0.36,0,2,1.0,0.0,0,0.0,0,0,0,0,0,3,6,8,9,4.5,43.6,17.5,28.0,8.9,2,43
