rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
1,Mohamed,Salah,311.88,24.4,16.54,40.94,29.51,38.2,3905.51,9,M.Salah,MID,Liverpool,2025-26,0.94,311.88,"recency-weighted FPL points, decay 8**(-age/4)"
3,Jarrod,Bowen,258.56,15.33,15.64,30.97,18.19,30.36,4475.61,8,Bowen,FWD,West Ham,2025-26,0.62,258.56,"recency-weighted FPL points, decay 8**(-age/4)"
17,Leandro,Trossard,191.81,10.87,9.14,20.0,13.22,18.31,3086.48,7,Trossard,MID,Arsenal,2025-26,0.58,191.81,"recency-weighted FPL points, decay 8**(-age/4)"
33,Anthony,Gordon,158.88,8.8,8.11,16.91,15.81,13.39,2917.62,7,Gordon,MID,Newcastle,2025-26,0.52,158.88,"recency-weighted FPL points, decay 8**(-age/4)"
58,Ibrahima,Konaté,134.53,0.95,0.71,1.66,2.73,6.59,3340.28,5,Konaté,DEF,Liverpool,2025-26,0.04,134.53,"recency-weighted FPL points, decay 8**(-age/4)"
65,Tomáš,Souček,130.18,7.63,2.32,9.94,8.14,12.55,2811.05,3,Souček,MID,West Ham,2025-26,0.32,130.18,"recency-weighted FPL points, decay 8**(-age/4)"
68,Trent,Alexander-Arnold,129.23,2.31,6.76,9.07,6.45,15.86,2136.22,9,Alexander-Arnold,DEF,Liverpool,2024-25,0.38,129.23,"recency-weighted FPL points, decay 8**(-age/4)"
78,Marc,Cucurella Saseta,126.24,2.36,3.97,6.33,5.77,8.68,3248.87,4,Cucurella,DEF,Chelsea,2025-26,0.18,126.24,"recency-weighted FPL points, decay 8**(-age/4)"
81,José,Malheiro de Sá,125.16,0.0,0.28,0.28,0.03,10.92,3441.21,5,José Sá,GKP,Wolves,2025-26,0.01,125.16,"recency-weighted FPL points, decay 8**(-age/4)"
94,Kevin,De Bruyne,115.14,4.99,9.59,14.58,8.55,14.56,1541.08,9,De Bruyne,MID,Man City,2024-25,0.85,115.14,"recency-weighted FPL points, decay 8**(-age/4)"
98,James,Ward-Prowse,114.8,4.34,4.13,8.47,6.79,9.81,2744.55,10,Ward-Prowse,MID,Burnley,2025-26,0.28,114.8,"recency-weighted FPL points, decay 8**(-age/4)"
99,Aaron,Wan-Bissaka,114.58,0.8,4.7,5.49,2.58,8.14,3308.63,10,Wan-Bissaka,DEF,West Ham,2025-26,0.15,114.58,"recency-weighted FPL points, decay 8**(-age/4)"
100,Mateus Gonçalo,Espanha Fernandes,113.86,2.49,3.79,6.28,5.68,6.99,2823.11,2,M.Fernandes,MID,West Ham,2025-26,0.2,113.86,"recency-weighted FPL points, decay 8**(-age/4)"
104,João Victor,Gomes da Silva,112.77,2.2,1.96,4.16,4.78,6.92,3371.33,4,J.Gomes,MID,Wolves,2025-26,0.11,112.77,"recency-weighted FPL points, decay 8**(-age/4)"
108,Kieran,Trippier,110.91,0.5,5.05,5.55,5.04,13.78,2378.24,9,Trippier,DEF,Newcastle,2025-26,0.21,110.91,"recency-weighted FPL points, decay 8**(-age/4)"
112,Son,Heung-min,109.39,7.3,6.39,13.69,10.19,10.5,1722.13,4,Son,MID,Spurs,2025-26,0.72,109.39,"recency-weighted FPL points, decay 8**(-age/4)"
114,Alisson,Ramses Becker,107.57,0.04,0.23,0.27,0.07,9.07,2325.06,7,A.Becker,GKP,Liverpool,2024-25,0.01,107.57,"recency-weighted FPL points, decay 8**(-age/4)"
116,Luis,Díaz,107.06,7.08,4.42,11.49,9.75,10.64,1592.9,4,Luis Díaz,MID,Liverpool,2024-25,0.65,107.06,"recency-weighted FPL points, decay 8**(-age/4)"
120,David,Raya Martin,106.4,0.0,0.0,0.0,0.05,7.67,2402.64,4,Raya,GKP,Arsenal,2024-25,0.0,106.4,"recency-weighted FPL points, decay 8**(-age/4)"
126,Ederson,Santana de Moraes,104.11,0.0,1.6,1.6,0.09,5.9,2353.98,9,Ederson M.,GKP,Man City,2025-26,0.06,104.11,"recency-weighted FPL points, decay 8**(-age/4)"
130,Lucas,Tolentino Coelho de Lima,102.58,5.13,3.43,8.56,8.97,9.0,2560.48,4,L.Paquetá,MID,West Ham,2025-26,0.3,102.58,"recency-weighted FPL points, decay 8**(-age/4)"
141,Kyle,Walker,98.45,0.09,2.64,2.73,2.34,5.73,3370.81,10,Walker,DEF,Burnley,2025-26,0.07,98.45,"recency-weighted FPL points, decay 8**(-age/4)"
144,Konstantinos,Mavropanos,96.94,1.99,0.0,1.99,2.86,5.02,2544.45,7,Mavropanos,DEF,West Ham,2025-26,0.07,96.94,"recency-weighted FPL points, decay 8**(-age/4)"
146,Matheus,Santos Carneiro Da Cunha,96.19,8.08,3.95,12.02,7.81,18.4,1550.48,3,Cunha,FWD,Wolves,2024-25,0.7,96.19,"recency-weighted FPL points, decay 8**(-age/4)"
158,Aaron,Ramsdale,90.02,0.0,0.03,0.03,0.02,7.52,2558.09,9,Ramsdale,GKP,Newcastle,2025-26,0.0,90.02,"recency-weighted FPL points, decay 8**(-age/4)"
164,Mitoma,Kaoru,88.13,5.32,2.36,7.68,8.71,5.43,1937.33,2,Mitoma,MID,Brighton,2025-26,0.36,88.13,"recency-weighted FPL points, decay 8**(-age/4)"
165,Raúl,Jiménez,88.07,6.99,2.07,9.05,6.68,14.4,1641.7,7,Raúl,FWD,Fulham,2024-25,0.5,88.07,"recency-weighted FPL points, decay 8**(-age/4)"
177,Crysencio,Summerville,86.77,3.83,3.23,7.06,6.89,7.15,1928.77,5,Summerville,MID,West Ham,2025-26,0.33,86.77,"recency-weighted FPL points, decay 8**(-age/4)"
179,Alphonse,Areola,85.61,0.0,0.59,0.59,0.0,4.25,2624.82,6,Areola,GKP,West Ham,2025-26,0.02,85.61,"recency-weighted FPL points, decay 8**(-age/4)"
185,Jamie,Vardy,84.48,6.48,3.56,10.04,5.8,11.43,1656.11,8,Vardy,FWD,Leicester,2024-25,0.55,84.48,"recency-weighted FPL points, decay 8**(-age/4)"
188,Abdoulaye,Doucouré,83.73,3.65,2.34,5.99,4.63,5.78,2115.91,9,A.Doucoure,MID,Everton,2024-25,0.25,83.73,"recency-weighted FPL points, decay 8**(-age/4)"
190,Douglas Luiz,Soares de Paulo,81.84,3.46,2.88,6.35,4.3,7.73,1930.66,6,Douglas Luiz,MID,Aston Villa,2025-26,0.3,81.84,"recency-weighted FPL points, decay 8**(-age/4)"
191,Bernardo,Veiga de Carvalho e Silva,81.78,3.18,4.06,7.23,6.15,9.93,1758.96,3,Bernardo,MID,Man City,2024-25,0.37,81.78,"recency-weighted FPL points, decay 8**(-age/4)"
193,Joël,Veltman,81.69,1.05,0.45,1.5,1.98,4.63,2140.66,6,Veltman,DEF,Brighton,2025-26,0.06,81.69,"recency-weighted FPL points, decay 8**(-age/4)"
197,Robert,Sánchez,81.03,0.0,0.0,0.0,0.01,7.56,1933.13,5,Sánchez,GKP,Chelsea,2024-25,0.0,81.03,"recency-weighted FPL points, decay 8**(-age/4)"
204,Hwang,Hee-chan,78.97,4.79,2.42,7.22,5.37,2.48,1668.49,4,Hee Chan,MID,Wolves,2025-26,0.39,78.97,"recency-weighted FPL points, decay 8**(-age/4)"
205,André,Trindade da Costa Neto,78.65,0.59,0.0,0.59,1.23,2.73,2515.09,2,André,MID,Wolves,2025-26,0.02,78.65,"recency-weighted FPL points, decay 8**(-age/4)"
207,Raheem,Sterling,78.56,4.84,4.43,9.27,4.11,5.52,1244.0,9,Sterling,MID,Arsenal,2024-25,0.67,78.56,"recency-weighted FPL points, decay 8**(-age/4)"
212,Lesley,Ugochukwu,77.03,2.14,2.14,4.27,2.28,4.03,2031.72,3,Ugochukwu,MID,Burnley,2025-26,0.19,77.03,"recency-weighted FPL points, decay 8**(-age/4)"
215,Jordan,Ayew,76.65,3.7,2.49,6.19,3.92,3.16,1829.58,9,J.Ayew,MID,Leicester,2024-25,0.3,76.65,"recency-weighted FPL points, decay 8**(-age/4)"
221,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,74.92,2.97,1.78,4.76,2.0,10.11,1303.37,1,J.Palhinha,MID,Spurs,2025-26,0.33,74.92,"recency-weighted FPL points, decay 8**(-age/4)"
229,Mark,Flekken,73.81,0.0,0.92,0.92,0.07,6.77,1848.47,2,Flekken,GKP,Brentford,2024-25,0.04,73.81,"recency-weighted FPL points, decay 8**(-age/4)"
232,Nathan,Aké,73.05,0.89,0.73,1.62,2.0,3.43,1568.12,10,Aké,DEF,Man City,2025-26,0.09,73.05,"recency-weighted FPL points, decay 8**(-age/4)"
233,Jadon,Sancho,72.93,2.03,3.63,5.66,4.36,2.73,1500.4,5,Sancho,MID,Aston Villa,2025-26,0.34,72.93,"recency-weighted FPL points, decay 8**(-age/4)"
239,Ilkay,Gündogan,71.41,2.72,3.87,6.59,4.23,4.96,1409.13,8,Gündogan,MID,Man City,2024-25,0.42,71.41,"recency-weighted FPL points, decay 8**(-age/4)"
241,Andreas,Hoelgebaum Pereira,70.71,1.84,5.26,7.1,6.72,3.3,1594.42,4,Andreas,MID,Fulham,2025-26,0.4,70.71,"recency-weighted FPL points, decay 8**(-age/4)"
242,Pedro,Porro,70.61,1.71,4.18,5.89,4.67,6.95,1712.45,3,Pedro Porro,DEF,Spurs,2024-25,0.31,70.61,"recency-weighted FPL points, decay 8**(-age/4)"
243,Max,Kilman,70.44,0.49,0.6,1.09,1.8,4.62,2578.44,7,Kilman,DEF,West Ham,2024-25,0.04,70.44,"recency-weighted FPL points, decay 8**(-age/4)"
246,Ferdi,Kadıoğlu,70.16,0.59,1.19,1.78,3.19,4.16,1861.11,1,F.Kadıoğlu,DEF,Brighton,2025-26,0.09,70.16,"recency-weighted FPL points, decay 8**(-age/4)"
247,Alejandro,Garnacho,69.89,3.97,3.14,7.1,6.4,3.95,1382.21,3,Garnacho,MID,Man Utd,2024-25,0.46,69.89,"recency-weighted FPL points, decay 8**(-age/4)"
251,Kyle,Walker-Peters,69.21,0.79,1.51,2.3,2.45,2.26,2527.09,8,Walker-Peters,DEF,West Ham,2025-26,0.08,69.21,"recency-weighted FPL points, decay 8**(-age/4)"
254,Ashley,Young,68.04,0.53,1.88,2.41,1.72,4.98,1575.37,8,Young,DEF,Everton,2024-25,0.14,68.04,"recency-weighted FPL points, decay 8**(-age/4)"
256,Harry,Kane,67.75,7.2,2.76,9.96,3.12,11.01,950.51,8,Kane,FWD,Spurs,2023-24,0.94,67.75,"recency-weighted FPL points, decay 8**(-age/4)"
258,Mads,Hermansen,67.46,0.0,0.59,0.59,0.01,5.11,1806.48,2,Hermansen,GKP,West Ham,2025-26,0.03,67.46,"recency-weighted FPL points, decay 8**(-age/4)"
259,Jean-Ricner,Bellegarde,67.44,1.72,3.49,5.21,3.18,1.98,1525.03,3,Bellegarde,MID,Wolves,2025-26,0.31,67.44,"recency-weighted FPL points, decay 8**(-age/4)"
272,Nélson,Cabral Semedo,64.12,0.04,2.17,2.21,1.72,1.78,2289.09,5,N.Semedo,DEF,Wolves,2024-25,0.09,64.12,"recency-weighted FPL points, decay 8**(-age/4)"
273,Diogo,Teixeira da Silva,63.88,5.1,3.39,8.48,5.69,4.01,798.39,3,Diogo J.,MID,Liverpool,2024-25,0.96,63.88,"recency-weighted FPL points, decay 8**(-age/4)"
276,Michail,Antonio,63.43,3.86,3.47,7.33,3.42,5.48,1291.7,9,Antonio,FWD,West Ham,2024-25,0.51,63.43,"recency-weighted FPL points, decay 8**(-age/4)"
278,Rodrigo,Hernandez,62.8,2.62,3.14,5.76,3.13,5.89,1380.97,5,Rodrigo,MID,Man City,2023-24,0.38,62.8,"recency-weighted FPL points, decay 8**(-age/4)"
281,Oleksandr,Zinchenko,62.1,0.34,1.37,1.7,1.82,5.63,1217.65,10,Zinchenko,DEF,Nott'm Forest,2025-26,0.13,62.1,"recency-weighted FPL points, decay 8**(-age/4)"
282,Daniel,Muñoz,61.98,1.41,2.96,4.38,3.49,3.81,1444.35,2,Muñoz,DEF,Crystal Palace,2024-25,0.27,61.98,"recency-weighted FPL points, decay 8**(-age/4)"
284,El Hadji Malick,Diouf,61.84,0.0,3.57,3.57,1.83,1.78,1609.0,1,Diouf,DEF,West Ham,2025-26,0.2,61.84,"recency-weighted FPL points, decay 8**(-age/4)"
288,Matt,Doherty,61.53,1.36,1.13,2.49,1.5,3.23,1776.33,8,Doherty,DEF,Wolves,2025-26,0.13,61.53,"recency-weighted FPL points, decay 8**(-age/4)"
290,Thomas,Partey,61.33,1.94,1.3,3.24,2.54,3.88,1680.73,5,Thomas,MID,Arsenal,2024-25,0.17,61.33,"recency-weighted FPL points, decay 8**(-age/4)"
293,Bernardo,Mota Veiga de Carvalho e Silva,60.65,1.19,2.38,3.57,4.06,2.38,1705.92,1,Bernardo,MID,Man City,2025-26,0.19,60.65,"recency-weighted FPL points, decay 8**(-age/4)"
294,Hugo,Bueno López,60.57,0.59,1.91,2.5,2.94,2.75,1718.88,4,H.Bueno,DEF,Wolves,2025-26,0.13,60.57,"recency-weighted FPL points, decay 8**(-age/4)"
296,Rúben,Gato Alves Dias,60.32,0.0,0.0,0.0,1.88,3.23,1589.38,3,Rúben,DEF,Man City,2024-25,0.0,60.32,"recency-weighted FPL points, decay 8**(-age/4)"
299,Kepa,Arrizabalaga,59.37,0.0,0.0,0.0,0.03,4.75,1488.32,7,Arrizabalaga,GKP,Bournemouth,2024-25,0.0,59.37,"recency-weighted FPL points, decay 8**(-age/4)"
302,Zian,Flemming,58.87,6.54,0.0,6.54,4.96,6.54,1048.88,1,Flemming,FWD,Burnley,2025-26,0.56,58.87,"recency-weighted FPL points, decay 8**(-age/4)"
303,Murillo,Santiago Costa dos Santos,58.15,0.71,0.42,1.13,1.44,6.57,1713.65,2,Murillo,DEF,Nott'm Forest,2024-25,0.06,58.15,"recency-weighted FPL points, decay 8**(-age/4)"
305,Levi,Colwill,57.95,0.92,0.81,1.73,1.74,3.71,1643.09,3,Colwill,DEF,Chelsea,2024-25,0.09,57.95,"recency-weighted FPL points, decay 8**(-age/4)"
307,Idrissa,Gueye,57.53,0.87,1.25,2.11,1.74,4.11,1885.76,7,Gana,MID,Everton,2024-25,0.1,57.53,"recency-weighted FPL points, decay 8**(-age/4)"
318,Dominic,Solanke,55.44,4.83,1.97,6.8,6.0,6.05,1110.85,6,Solanke,FWD,Bournemouth,2023-24,0.55,55.44,"recency-weighted FPL points, decay 8**(-age/4)"
319,Manuel,Akanji,55.36,0.42,0.12,0.55,2.03,2.66,1524.93,4,Akanji,DEF,Man City,2025-26,0.03,55.36,"recency-weighted FPL points, decay 8**(-age/4)"
320,Josh,Cullen,55.31,1.61,2.03,3.64,1.97,5.81,1331.7,4,Cullen,MID,Burnley,2025-26,0.25,55.31,"recency-weighted FPL points, decay 8**(-age/4)"
324,Santiago,Ignacio Bueno,54.7,1.78,1.19,2.97,2.22,2.38,1517.43,1,S.Bueno,DEF,Wolves,2025-26,0.18,54.7,"recency-weighted FPL points, decay 8**(-age/4)"
327,Adama,Traoré,52.97,1.41,3.97,5.38,3.58,3.67,983.91,7,Adama,MID,Fulham,2024-25,0.49,52.97,"recency-weighted FPL points, decay 8**(-age/4)"
329,Illia,Zabarnyi,51.77,0.21,0.35,0.56,1.05,3.46,1836.37,4,Zabarnyi,DEF,Bournemouth,2025-26,0.03,51.77,"recency-weighted FPL points, decay 8**(-age/4)"
331,Danny,Ings,51.45,3.31,2.46,5.77,2.33,6.92,712.94,9,Ings,FWD,West Ham,2024-25,0.73,51.45,"recency-weighted FPL points, decay 8**(-age/4)"
332,Rasmus,Højlund,51.12,3.52,0.77,4.29,3.87,5.77,1159.64,3,Højlund,FWD,Man Utd,2025-26,0.33,51.12,"recency-weighted FPL points, decay 8**(-age/4)"
333,Toti António,Gomes,50.99,0.34,1.19,1.53,1.02,4.59,1655.37,4,Toti,DEF,Wolves,2024-25,0.08,50.99,"recency-weighted FPL points, decay 8**(-age/4)"
335,Maxime,Estève,50.54,0.0,0.0,0.0,0.78,0.0,1743.97,1,Estève,DEF,Burnley,2025-26,0.0,50.54,"recency-weighted FPL points, decay 8**(-age/4)"
336,Yves,Bissouma,50.42,0.85,0.15,1.0,1.34,2.17,1765.08,8,Bissouma,MID,Spurs,2025-26,0.05,50.42,"recency-weighted FPL points, decay 8**(-age/4)"
337,Emerson,Palmieri dos Santos,50.34,1.04,1.2,2.25,2.44,3.36,1613.54,9,Emerson,DEF,West Ham,2025-26,0.13,50.34,"recency-weighted FPL points, decay 8**(-age/4)"
338,Pervis,Estupiñán,50.26,0.9,1.86,2.76,2.63,5.82,1443.52,3,Estupiñan,DEF,Brighton,2024-25,0.17,50.26,"recency-weighted FPL points, decay 8**(-age/4)"
339,Lyle,Foster,50.25,2.83,1.82,4.65,3.32,3.22,1208.26,2,Foster,FWD,Burnley,2025-26,0.35,50.25,"recency-weighted FPL points, decay 8**(-age/4)"
340,Adam,Armstrong,50.09,2.29,2.6,4.89,3.88,1.9,1388.82,4,Armstrong,FWD,Wolves,2025-26,0.32,50.09,"recency-weighted FPL points, decay 8**(-age/4)"
342,Florentino Ibrain,Morris Luís,49.95,0.0,1.19,1.19,0.69,0.0,1248.67,1,Florentino,MID,Burnley,2025-26,0.09,49.95,"recency-weighted FPL points, decay 8**(-age/4)"
351,Christian,Eriksen,48.9,1.09,2.99,4.08,3.14,2.76,1055.07,8,Eriksen,MID,Man Utd,2024-25,0.35,48.9,"recency-weighted FPL points, decay 8**(-age/4)"
353,David,Moyes,48.44,0.0,0.0,0.0,0.0,0.0,0.0,1,Moyes,5,Everton,2024-25,0.0,48.44,"recency-weighted FPL points, decay 8**(-age/4)"
354,Michael,Olise,48.2,2.5,3.08,5.58,3.32,6.88,694.04,3,Olise,MID,Crystal Palace,2023-24,0.72,48.2,"recency-weighted FPL points, decay 8**(-age/4)"
358,Bobby,De Cordova-Reid,47.56,2.11,2.17,4.28,2.2,2.55,865.05,3,De Cordova-Reid,MID,Leicester,2024-25,0.45,47.56,"recency-weighted FPL points, decay 8**(-age/4)"
360,Armando,Broja,46.66,1.38,1.29,2.66,2.11,2.01,910.15,6,Broja,FWD,Burnley,2025-26,0.26,46.66,"recency-weighted FPL points, decay 8**(-age/4)"
361,Jean-Clair,Todibo,46.44,0.0,0.59,0.59,0.49,0.95,1725.28,2,Todibo,DEF,West Ham,2025-26,0.03,46.44,"recency-weighted FPL points, decay 8**(-age/4)"
362,Julián,Álvarez,46.09,3.44,2.69,6.12,5.12,5.32,736.83,3,J.Alvarez,FWD,Man City,2024-25,0.75,46.09,"recency-weighted FPL points, decay 8**(-age/4)"
364,Matheus Luiz,Nunes,45.36,0.48,3.02,3.5,2.59,2.96,1073.51,3,Matheus N.,MID,Man City,2024-25,0.29,45.36,"recency-weighted FPL points, decay 8**(-age/4)"
365,Oliver,Glasner,45.25,0.0,0.0,0.0,0.0,0.0,0.0,1,Glasner,5,Crystal Palace,2024-25,0.0,45.25,"recency-weighted FPL points, decay 8**(-age/4)"
366,Ivan,Toney,45.06,4.23,1.5,5.74,4.33,6.63,889.88,4,Toney,FWD,Brentford,2024-25,0.58,45.06,"recency-weighted FPL points, decay 8**(-age/4)"
368,Ben,Mee,44.78,1.14,0.56,1.69,0.99,2.86,1165.39,9,Mee,DEF,Brentford,2024-25,0.13,44.78,"recency-weighted FPL points, decay 8**(-age/4)"
369,Donyell,Malen,44.72,3.44,1.19,4.63,3.42,2.84,485.2,2,Malen,MID,Aston Villa,2025-26,0.86,44.72,"recency-weighted FPL points, decay 8**(-age/4)"
370,Mario,Lemina,44.71,1.26,1.48,2.74,2.09,4.71,1384.25,7,Mario Jr.,MID,Wolves,2024-25,0.18,44.71,"recency-weighted FPL points, decay 8**(-age/4)"
372,Mateus,Mané,44.35,1.78,1.19,2.97,3.39,5.35,1062.91,2,Mané,FWD,Wolves,2025-26,0.25,44.35,"recency-weighted FPL points, decay 8**(-age/4)"
375,Álex,Jiménez Sánchez,44.0,0.59,1.19,1.78,1.68,1.19,1376.51,1,A.Jimenez,DEF,Bournemouth,2025-26,0.12,44.0,"recency-weighted FPL points, decay 8**(-age/4)"
380,Aaron,Cresswell,43.42,0.24,1.0,1.24,1.24,4.48,1138.56,9,Cresswell,DEF,West Ham,2024-25,0.1,43.42,"recency-weighted FPL points, decay 8**(-age/4)"
381,Lukasz,Fabianski,43.42,0.0,0.0,0.0,0.0,3.16,1086.4,9,Fabianski,GKP,West Ham,2025-26,0.0,43.42,"recency-weighted FPL points, decay 8**(-age/4)"
382,Rodrigo,Martins Gomes,43.39,2.49,0.0,2.49,2.06,0.0,847.97,2,R.Gomes,DEF,Wolves,2025-26,0.26,43.39,"recency-weighted FPL points, decay 8**(-age/4)"
384,James,Milner,43.19,0.76,1.48,2.25,1.89,0.55,987.36,10,Milner,MID,Brighton,2025-26,0.2,43.19,"recency-weighted FPL points, decay 8**(-age/4)"
385,Jorge Luiz,Frello Filho,43.03,1.14,0.99,2.13,0.98,2.61,1074.85,7,Jorginho,MID,Arsenal,2024-25,0.18,43.03,"recency-weighted FPL points, decay 8**(-age/4)"
386,Conor,Coady,42.92,0.82,0.12,0.95,0.52,3.02,1406.12,6,Coady,DEF,Leicester,2024-25,0.06,42.92,"recency-weighted FPL points, decay 8**(-age/4)"
387,Craig,Dawson,42.87,0.71,0.92,1.63,0.85,2.82,1466.75,8,Dawson,DEF,Wolves,2024-25,0.1,42.87,"recency-weighted FPL points, decay 8**(-age/4)"
389,Fabian,Hürzeler,42.07,0.0,0.0,0.0,0.0,0.0,0.0,1,Hürzeler,5,Brighton,2024-25,0.0,42.07,"recency-weighted FPL points, decay 8**(-age/4)"
390,Jeffrey,Schlupp,41.99,1.32,1.05,2.38,1.27,1.55,906.06,9,Schlupp,MID,Crystal Palace,2024-25,0.24,41.99,"recency-weighted FPL points, decay 8**(-age/4)"
391,Pablo,Sarabia,41.86,2.03,2.18,4.21,4.39,3.12,743.5,3,Sarabia,MID,Wolves,2024-25,0.51,41.86,"recency-weighted FPL points, decay 8**(-age/4)"
392,Arne,Slot,41.72,0.0,0.0,0.0,0.0,0.0,0.0,1,Slot,5,Liverpool,2024-25,0.0,41.72,"recency-weighted FPL points, decay 8**(-age/4)"
393,Sam,Johnstone,41.71,0.0,0.04,0.04,0.01,2.94,1490.89,5,Johnstone,GKP,Wolves,2025-26,0.0,41.71,"recency-weighted FPL points, decay 8**(-age/4)"
394,Jacob,Bruun Larsen,41.62,1.26,0.59,1.86,2.78,1.47,862.55,2,Bruun Larsen,MID,Burnley,2025-26,0.19,41.62,"recency-weighted FPL points, decay 8**(-age/4)"
397,Marcos,Senesi,41.03,1.09,1.05,2.14,1.61,4.42,1171.79,3,Senesi,DEF,Bournemouth,2024-25,0.16,41.03,"recency-weighted FPL points, decay 8**(-age/4)"
398,Thomas,Frank,41.01,0.0,0.0,0.0,0.0,0.0,0.0,1,Frank,5,Brentford,2024-25,0.0,41.01,"recency-weighted FPL points, decay 8**(-age/4)"
400,Kurt,Zouma,40.93,1.22,0.16,1.38,0.67,3.2,1219.75,9,Zouma,DEF,West Ham,2024-25,0.1,40.93,"recency-weighted FPL points, decay 8**(-age/4)"
401,Riyad,Mahrez,40.86,2.38,2.95,5.33,1.33,3.82,550.08,8,Mahrez,MID,Man City,2023-24,0.87,40.86,"recency-weighted FPL points, decay 8**(-age/4)"
403,Ladislav,Krejcí,40.43,1.19,1.19,2.38,2.21,0.59,1400.89,1,Krejčí,DEF,Wolves,2025-26,0.15,40.43,"recency-weighted FPL points, decay 8**(-age/4)"
405,Marshall,Munetsi,40.27,1.3,1.9,3.2,2.76,2.01,899.27,2,Munetsi,MID,Wolves,2025-26,0.32,40.27,"recency-weighted FPL points, decay 8**(-age/4)"
406,Thiago,Emiliano da Silva,40.26,0.85,0.53,1.39,0.6,4.56,1021.58,3,T.Silva,DEF,Chelsea,2023-24,0.12,40.26,"recency-weighted FPL points, decay 8**(-age/4)"
407,Pierre-Emile,Højbjerg,39.98,0.8,1.15,1.95,1.12,2.11,1189.09,9,Højbjerg,MID,Spurs,2024-25,0.15,39.98,"recency-weighted FPL points, decay 8**(-age/4)"
408,Pep,Guardiola,39.95,0.0,0.0,0.0,0.0,0.0,0.0,1,Guardiola,5,Man City,2024-25,0.0,39.95,"recency-weighted FPL points, decay 8**(-age/4)"
414,Jan,Bednarek,39.53,1.08,0.09,1.17,0.61,3.09,1566.39,7,Bednarek,DEF,Southampton,2024-25,0.07,39.53,"recency-weighted FPL points, decay 8**(-age/4)"
415,Miguel,Almirón Rejala,39.47,2.01,0.71,2.72,3.09,2.72,769.64,3,Almirón,MID,Newcastle,2024-25,0.32,39.47,"recency-weighted FPL points, decay 8**(-age/4)"
416,Vítor Manuel,de Oliveira Lopes Pereira,39.24,0.0,0.0,0.0,0.0,0.0,0.0,1,Pereira,5,Wolves,2024-25,0.0,39.24,"recency-weighted FPL points, decay 8**(-age/4)"
417,Tolu,Arokodare,39.24,1.78,1.19,2.97,3.5,2.38,833.63,1,Tolu,FWD,Wolves,2025-26,0.32,39.24,"recency-weighted FPL points, decay 8**(-age/4)"
418,Adam,Webster,39.08,0.27,0.38,0.65,0.63,2.13,1091.81,7,Webster,DEF,Brighton,2025-26,0.05,39.08,"recency-weighted FPL points, decay 8**(-age/4)"
419,Wilfred,Ndidi,38.97,0.14,2.1,2.24,1.34,1.08,1404.3,8,Ndidi,MID,Leicester,2024-25,0.14,38.97,"recency-weighted FPL points, decay 8**(-age/4)"
420,Willian,Borges da Silva,38.86,1.47,1.51,2.97,3.21,2.64,785.16,3,Willian,MID,Fulham,2024-25,0.34,38.86,"recency-weighted FPL points, decay 8**(-age/4)"
421,Heung-Min,Son,38.79,3.13,1.82,4.95,0.0,4.11,491.06,6,Son,MID,Spurs,2021-22,0.91,38.79,"recency-weighted FPL points, decay 8**(-age/4)"
424,Cameron,Archer,38.36,1.55,0.63,2.18,3.68,3.31,894.06,4,Archer,FWD,Southampton,2024-25,0.22,38.36,"recency-weighted FPL points, decay 8**(-age/4)"
425,Scott,McTominay,37.63,1.96,0.5,2.46,1.74,1.85,884.61,9,McTominay,MID,Man Utd,2024-25,0.25,37.63,"recency-weighted FPL points, decay 8**(-age/4)"
426,Mads,Roerslev Rasmussen,37.54,0.28,1.2,1.49,1.45,0.93,1033.3,5,Roerslev,DEF,Brentford,2025-26,0.13,37.54,"recency-weighted FPL points, decay 8**(-age/4)"
427,Hannibal,Mejbri,37.51,0.8,2.97,3.78,1.89,2.38,757.69,5,Hannibal,MID,Burnley,2025-26,0.45,37.51,"recency-weighted FPL points, decay 8**(-age/4)"
428,Sávio 'Savinho',Moreira de Oliveira,37.48,0.35,3.89,4.24,3.93,5.3,622.25,1,Savinho,MID,Man City,2024-25,0.61,37.48,"recency-weighted FPL points, decay 8**(-age/4)"
429,Quilindschy,Hartman,37.46,0.0,3.57,3.57,1.37,0.0,1085.15,1,Hartman,DEF,Burnley,2025-26,0.3,37.46,"recency-weighted FPL points, decay 8**(-age/4)"
433,Norberto,Murara Neto,37.22,0.0,0.0,0.0,0.0,4.07,967.21,4,Neto,GKP,Bournemouth,2025-26,0.0,37.22,"recency-weighted FPL points, decay 8**(-age/4)"
434,Unai,Emery,37.12,0.0,0.0,0.0,0.0,0.0,0.0,1,Emery,5,Aston Villa,2024-25,0.0,37.12,"recency-weighted FPL points, decay 8**(-age/4)"
435,Samuel,Chukwueze,36.87,1.78,2.38,4.16,3.25,0.59,634.44,1,Chukwueze,MID,Fulham,2025-26,0.59,36.87,"recency-weighted FPL points, decay 8**(-age/4)"
436,Dean,Huijsen,36.77,1.06,0.71,1.77,1.2,4.95,856.31,1,Huijsen,DEF,Bournemouth,2024-25,0.19,36.77,"recency-weighted FPL points, decay 8**(-age/4)"
